Id,employeenumber,WFO,WFH,Travel,Leaves,NoSwipe,month,year,is_active,CreatedBy,ModifiedBy,CreatedDate,ModifiedDate
156,30227503,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:03:58.490,2025-08-08 13:53:22.737
157,30309363,18,0,0,0,6,7,2025,1,34852320,34852320,2025-08-01 09:04:07.930,2025-08-19 11:45:15.297
158,34256849,17,0,0,1,5,7,2025,1,34852320,34852320,2025-08-01 09:04:21.853,2025-08-01 09:04:22.073
159,35281578,21,0,0,2,1,7,2025,1,34852320,34852320,2025-08-01 09:04:32.103,2025-08-05 12:18:10.090
160,33552058,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:04:33.513,2025-08-18 06:26:34.563
161,31319109,12,0,0,4,7,7,2025,1,34852320,34852320,2025-08-01 09:04:37.390,2025-08-19 07:43:01.997
162,32723036,10,2,0,6,7,7,2025,1,34852320,NULL,2025-08-01 09:04:42.797,NULL
163,33268106,17,0,0,1,5,7,2025,1,34852320,34852320,2025-08-01 09:05:10.597,2025-08-19 09:35:12.593
164,34601930,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:05:27.973,2025-08-19 11:34:26.783
165,35250227,14,1,0,1,8,7,2025,1,34852320,34852320,2025-08-01 09:05:35.990,2025-08-01 09:05:36.067
166,34933617,15,0,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:05:43.570,2025-08-19 08:39:30.167
167,35441254,16,0,0,1,6,7,2025,1,34852320,34852320,2025-08-01 09:05:58.400,2025-08-06 07:30:29.953
168,35000765,4,0,0,15,4,7,2025,1,34852320,34852320,2025-08-01 09:06:18.107,2025-08-06 08:13:44.823
169,35374996,17,0,0,0,6,7,2025,1,34852320,34852320,2025-08-01 09:07:13.273,2025-08-18 17:05:12.683
170,34627324,12,2,0,4,7,7,2025,1,34852320,34852320,2025-08-01 09:07:21.633,2025-08-18 15:59:37.113
171,31316157,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:07:35.587,2025-08-01 09:07:35.667
172,35490628,13,2,1,2,7,7,2025,1,34852320,34852320,2025-08-01 09:07:36.963,2025-08-18 14:39:19.327
173,35097536,16,0,0,3,4,7,2025,1,34852320,34852320,2025-08-01 09:07:52.043,2025-08-18 20:13:30.383
174,32690115,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 09:07:59.307,2025-08-10 16:29:35.460
175,32725187,17,0,0,1,5,7,2025,1,34852320,34852320,2025-08-01 09:08:01.963,2025-08-01 09:08:02.043
176,35791134,15,0,0,2,6,7,2025,1,34852320,34852320,2025-08-01 09:08:23.437,2025-08-01 09:08:23.563
177,33559220,11,3,0,5,7,7,2025,1,34852320,34852320,2025-08-01 09:08:32.030,2025-08-17 19:37:02.263
178,30401752,20,0,0,2,1,7,2025,1,34852320,34852320,2025-08-01 09:08:35.300,2025-08-11 21:17:01.880
179,35703051,15,1,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:08:37.313,2025-08-19 10:42:04.353
180,35074597,12,0,0,5,6,7,2025,1,34852320,34852320,2025-08-01 09:08:40.237,2025-08-01 09:08:41.050
181,31238045,8,0,0,14,1,7,2025,1,34852320,34852320,2025-08-01 09:08:51.660,2025-08-01 09:08:56.550
182,33726978,15,1,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:08:57.440,2025-08-06 09:17:03.303
183,30783518,10,3,0,6,7,7,2025,1,34852320,34852320,2025-08-01 09:09:12.177,2025-08-18 11:06:53.327
184,35022279,15,1,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:09:22.777,2025-08-06 14:17:42.800
185,32011812,10,3,0,6,7,7,2025,1,34852320,34852320,2025-08-01 09:09:27.090,2025-08-01 09:10:06.797
186,35913618,16,0,0,1,6,7,2025,1,34852320,34852320,2025-08-01 09:09:28.167,2025-08-18 15:11:13.410
187,30280892,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 09:10:04.517,2025-08-18 12:28:40.850
188,30346171,13,3,0,3,7,7,2025,1,34852320,34852320,2025-08-01 09:10:18.737,2025-08-18 22:14:56.667
189,30253911,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:10:22.673,2025-08-05 11:33:19.667
190,31408726,17,0,0,1,6,7,2025,1,34852320,34852320,2025-08-01 09:10:25.407,2025-08-18 09:05:49.480
191,35379731,17,0,0,0,6,7,2025,1,34852320,34852320,2025-08-01 09:10:38.537,2025-08-19 08:58:26.193
192,31344046,17,0,0,1,5,7,2025,1,34852320,34852320,2025-08-01 09:11:15.290,2025-08-18 22:02:50.123
193,34835910,11,4,0,5,7,7,2025,1,34852320,34852320,2025-08-01 09:11:19.227,2025-08-16 13:42:14.003
194,32512790,14,0,0,0,9,7,2025,1,34852320,34852320,2025-08-01 09:11:30.867,2025-08-11 15:48:40.963
195,32595763,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:11:31.540,2025-08-06 11:37:51.203
196,34925145,21,0,0,2,1,7,2025,1,34852320,34852320,2025-08-01 09:12:17.080,2025-08-11 14:35:49.607
197,35665654,12,2,0,4,7,7,2025,1,34852320,34852320,2025-08-01 09:12:27.833,2025-08-10 12:33:39.343
198,35804665,23,0,0,0,0,7,2025,1,34852320,34852320,2025-08-01 09:12:42.960,2025-08-08 15:48:00.290
199,32673394,18,0,0,0,5,7,2025,1,34852320,34852320,2025-08-01 09:12:55.070,2025-08-19 11:49:35.397
200,35123473,18,0,0,2,3,7,2025,1,34852320,34852320,2025-08-01 09:12:58.040,2025-08-18 10:38:27.117
201,31011093,14,0,0,4,5,7,2025,1,34852320,34852320,2025-08-01 09:13:05.760,2025-08-13 16:55:09.200
202,34714122,14,0,0,3,6,7,2025,1,34852320,34852320,2025-08-01 09:13:18.870,2025-08-01 12:44:45.720
203,34916280,12,2,0,4,7,7,2025,1,34852320,34852320,2025-08-01 09:13:24.043,2025-08-19 11:33:25.150
204,34036837,16,0,0,2,5,7,2025,1,34852320,34852320,2025-08-01 09:13:36.247,2025-08-01 09:13:36.403
205,35424424,16,0,0,1,6,7,2025,1,34852320,34852320,2025-08-01 09:13:55.873,2025-08-01 09:14:18.533
206,31500313,14,0,0,3,6,7,2025,1,34852320,34852320,2025-08-01 09:13:58.107,2025-08-13 16:11:43.973
207,35026685,18,0,0,0,5,7,2025,1,34852320,34852320,2025-08-01 09:14:19.187,2025-08-01 09:14:19.330
208,32187008,13,1,0,3,7,7,2025,1,34852320,34852320,2025-08-01 09:14:25.633,2025-08-05 18:30:53.260
209,32576347,15,0,0,2,6,7,2025,1,34852320,34852320,2025-08-01 09:14:27.157,2025-08-19 09:16:44.107
210,34933458,20,0,0,3,0,7,2025,1,34852320,34852320,2025-08-01 09:14:39.457,2025-08-01 09:14:39.580
211,30229075,14,2,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:14:46.003,2025-08-09 21:50:14.783
212,35393635,14,1,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:14:57.990,2025-08-18 18:41:21.297
213,31565636,18,0,0,0,5,7,2025,1,34852320,34852320,2025-08-01 09:15:10.523,2025-08-10 20:08:24.277
214,34997344,9,6,0,7,7,7,2025,1,34852320,34852320,2025-08-01 09:16:22.820,2025-08-19 07:53:27.707
215,32704716,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 09:16:28.070,2025-08-08 10:37:01.433
216,31000434,22,0,0,0,1,7,2025,1,34852320,34852320,2025-08-01 09:17:10.373,2025-08-01 09:17:10.433
217,30306008,14,0,0,2,7,7,2025,1,34852320,34852320,2025-08-01 09:18:24.650,2025-08-19 08:41:22.570
218,34242114,13,0,0,4,7,7,2025,1,34852320,34852320,2025-08-01 09:18:41.963,2025-08-02 15:13:17.500
219,34933074,15,1,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:18:57.573,2025-08-10 17:32:59.687
220,35598950,15,0,0,2,7,7,2025,1,34852320,NULL,2025-08-01 09:19:29.267,NULL
221,32612469,15,0,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:19:45.690,2025-08-01 09:19:45.940
222,34930022,16,0,0,0,7,7,2025,1,34852320,34852320,2025-08-01 09:20:18.740,2025-08-18 18:15:47.697
223,34895800,15,0,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:20:36.087,2025-08-11 07:35:05.437
224,30477500,11,0,0,5,7,7,2025,1,34852320,34852320,2025-08-01 09:21:11.183,2025-08-16 22:29:58.470
225,35122599,16,0,0,1,6,7,2025,1,34852320,34852320,2025-08-01 09:21:26.860,2025-08-19 11:13:05.037
226,34642646,10,0,6,2,7,7,2025,1,34852320,NULL,2025-08-01 09:21:29.797,NULL
227,34605963,15,0,0,1,7,7,2025,1,34852320,34852320,2025-08-01 09:21:32.847,2025-08-01 09:21:55.740
228,33757382,19,0,0,0,4,7,2025,1,34852320,34852320,2025-08-01 09:21:37.737,2025-08-18 11:16:38.843
